station_code,fuel_type,price,last_updated,brandid,stationid,brand,name,address,latitude,longitude,isAdBlueAvailable
1,DL,186.9,25/06/2025 06:45:46 AM,1-GFYV-4,1-GN9E-0,Coles Express,Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",-30.286083,153.124146,False
1,E10,182.9,19/06/2025 09:45:45 AM,1-GFYV-4,1-GN9E-0,Coles Express,Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",-30.286083,153.124146,False
1,P95,199.9,19/06/2025 09:45:45 AM,1-GFYV-4,1-GN9E-0,Coles Express,Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",-30.286083,153.124146,False
1,P98,207.9,19/06/2025 09:45:45 AM,1-GFYV-4,1-GN9E-0,Coles Express,Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",-30.286083,153.124146,False
1,U91,184.9,29/06/2025 02:30:47 AM,1-GFYV-4,1-GN9E-0,Coles Express,Coles Express Coffs Harbour,"208-212 Pacific Hwy North, Coffs Harbour NSW 2450",-30.286083,153.124146,False
10,DL,186.9,25/06/2025 06:45:46 AM,1-GFYV-4,1-GN9E-106,Coles Express,Coles Express Port Macquarie,"Cnr Gordon & Hollingsworth Sts, PORT MACQUARIE NSW 2444",-31.434366,152.904685,False
10,E10,179.9,25/06/2025 04:00:48 AM,1-GFYV-4,1-GN9E-106,Coles Express,Coles Express Port Macquarie,"Cnr Gordon & Hollingsworth Sts, PORT MACQUARIE NSW 2444",-31.434366,152.904685,False
10,P95,201.9,25/06/2025 04:00:48 AM,1-GFYV-4,1-GN9E-106,Coles Express,Coles Express Port Macquarie,"Cnr Gordon & Hollingsworth Sts, PORT MACQUARIE NSW 2444",-31.434366,152.904685,False
10,P98,208.9,25/06/2025 04:00:48 AM,1-GFYV-4,1-GN9E-106,Coles Express,Coles Express Port Macquarie,"Cnr Gordon & Hollingsworth Sts, PORT MACQUARIE NSW 2444",-31.434366,152.904685,False
10,U91,183.9,25/06/2025 04:00:48 AM,1-GFYV-4,1-GN9E-106,Coles Express,Coles Express Port Macquarie,"Cnr Gordon & Hollingsworth Sts, PORT MACQUARIE NSW 2444",-31.434366,152.904685,False
